Episode 165/1000 | Score:   0 | Reward: -19.5 | Epsilon: 0.43732905 | Steps:  96
Episode 166/1000 | Score:   0 | Reward: -14.4 | Epsilon: 0.43514240 | Steps:  45
Episode 167/1000 | Score:   0 | Reward: -19.1 | Epsilon: 0.43296669 | Steps:  92
Episode 168/1000 | Score:   0 | Reward: -25.6 | Epsilon: 0.43080186 | Steps: 157
Episode 169/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.42864785 | Steps: 201
Episode 170/1000 | Score:   0 | Reward: -15.6 | Epsilon: 0.42650461 | Steps:  57
Episode 171/1000 | Score:   3 | Reward: 3.9 | Epsilon: 0.42437208 | Steps: 165
Episode 172/1000 | Score:   0 | Reward: -18.1 | Epsilon: 0.42225022 | Steps:  82
Episode 173/1000 | Score:   0 | Reward: -15.5 | Epsilon: 0.42013897 | Steps:  56
Episode 174/1000 | Score:   1 | Reward: -15.0 | Epsilon: 0.41803828 | Steps: 152
Episode 175/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.41594809 | Steps: 201
Episode 176/1000 | Score:   0 | Reward: -28.2 | Epsilon: 0.41386835 | Steps: 183
Episode 177/1000 | Score:   0 | Reward: -23.0 | Epsilon: 0.41179900 | Steps: 131
Episode 178/1000 | Score:   0 | Reward: -15.8 | Epsilon: 0.40974001 | Steps:  59
Episode 179/1000 | Score:   0 | Reward: -24.6 | Epsilon: 0.40769131 | Steps: 147
Episode 180/1000 | Score:   0 | Reward: -17.2 | Epsilon: 0.40565285 | Steps:  73
Episode 181/1000 | Score:   0 | Reward: -19.3 | Epsilon: 0.40362459 | Steps:  94
Episode 182/1000 | Score:   3 | Reward: -8.4 | Epsilon: 0.40160647 | Steps: 288
Episode 183/1000 | Score:   2 | Reward: -1.9 | Epsilon: 0.39959843 | Steps: 122
Episode 184/1000 | Score:   4 | Reward: 14.6 | Epsilon: 0.39760044 | Steps: 159
Episode 185/1000 | Score:   2 | Reward: -13.0 | Epsilon: 0.39561244 | Steps: 233
Episode 186/1000 | Score:   1 | Reward: -10.2 | Epsilon: 0.39363438 | Steps: 104
Episode 187/1000 | Score:   1 | Reward: -28.2 | Epsilon: 0.39166620 | Steps: 284
Episode 188/1000 | Score:   2 | Reward: -25.7 | Epsilon: 0.38970787 | Steps: 360
Episode 189/1000 | Score:   2 | Reward: -27.7 | Epsilon: 0.38775933 | Steps: 380
Episode 190/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.38582054 | Steps: 201
Episode 191/1000 | Score:   2 | Reward: -4.5 | Epsilon: 0.38389143 | Steps: 148
Episode 192/1000 | Score:   0 | Reward: -30.0 | Epsilon: 0.38197198 | Steps: 201
Episode 193/1000 | Score:   1 | Reward: -12.5 | Epsilon: 0.38006212 | Steps: 127
Episode 194/1000 | Score:   0 | Reward: -15.5 | Epsilon: 0.37816181 | Steps:  56
Episode 195/1000 | Score:   1 | Reward: -8.6 | Epsilon: 0.37627100 | Steps:  88
Episode 196/1000 | Score:   0 | Reward: -17.6 | Epsilon: 0.37438964 | Steps:  77
Episode 197/1000 | Score:   1 | Reward: -10.5 | Epsilon: 0.37251769 | Steps: 107
Episode 198/1000 | Score:   1 | Reward: -35.3 | Epsilon: 0.37065511 | Steps: 355
Episode 199/1000 | Score:   0 | Reward: -24.3 | Epsilon: 0.36880183 | Steps: 144
